mac,rssi,timestamp,team
80:E1:26:07:C4:0A,-73,2020-01-08 14:20:20.374994,30
80:E1:26:07:C4:0A,-89,2020-01-08 14:20:30.492356,30
80:E1:26:07:D2:6F,-64,2020-01-08 14:20:40.476416,30
80:E1:26:07:E3:79,-70,2020-01-08 14:21:00.375758,30
80:E1:26:07:D2:6F,-68,2020-01-08 14:21:10.435459,30
80:E1:26:07:D2:6F,-56,2020-01-08 14:21:20.393668,30
80:E1:26:07:E3:79,-76,2020-01-08 14:22:50.517374,30
80:E1:26:07:E3:79,-73,2020-01-08 14:23:20.515258,30
80:E1:26:07:E3:79,-77,2020-01-08 14:23:40.529026,30
80:E1:26:07:E3:79,-69,2020-01-08 14:25:28.199612,15
80:E1:26:07:E3:79,-76,2020-01-08 14:25:50.639875,30
80:E1:26:07:E3:79,-73,2020-01-08 14:26:00.589992,30
80:E1:26:07:C4:0A,-80,2020-01-08 14:26:50.838348,30
80:E1:26:07:C4:0A,-80,2020-01-08 14:26:52.634351,30
80:E1:26:07:C4:0A,-68,2020-01-08 14:27:00.778909,30
80:E1:26:07:C4:0A,-78,2020-01-08 14:27:10.646563,30
80:E1:26:07:E0:F2,-85,2020-01-08 14:30:20.727685,30
80:E1:26:07:E0:F2,-71,2020-01-08 14:30:25.159462,33
80:E1:26:07:D2:6F,-76,2020-01-08 14:30:30.653011,33
80:E1:26:07:D2:6F,-58,2020-01-08 14:30:30.758754,30
80:E1:26:07:D2:6F,-83,2020-01-08 14:30:40.688119,33
80:E1:26:07:D2:6F,-58,2020-01-08 14:31:30.725798,30
80:E1:26:07:D2:6F,-66,2020-01-08 14:31:40.720607,30
80:E1:26:07:D2:6F,-66,2020-01-08 14:31:50.717692,30
80:E1:26:07:C4:0A,-70,2020-01-08 14:32:10.721585,30
80:E1:26:07:D2:6F,-69,2020-01-08 14:32:30.760557,30
80:E1:26:07:C4:0A,-71,2020-01-08 14:32:40.755214,30
80:E1:26:07:E0:F2,-69,2020-01-08 14:33:10.743750,30
80:E1:26:07:C4:0A,-55,2020-01-08 14:33:20.762452,30
80:E1:26:07:E0:F2,-76,2020-01-08 14:33:40.723771,30
80:E1:26:07:E3:79,-77,2020-01-08 14:33:50.761235,30
80:E1:26:07:E3:79,-64,2020-01-08 14:34:02.053374,30
80:E1:26:07:E3:79,-64,2020-01-08 14:34:00.735614,30
80:E1:26:07:E3:79,-75,2020-01-08 14:34:10.742673,30
80:E1:26:07:D2:6F,-59,2020-01-08 14:34:30.783972,30
80:E1:26:07:E0:F2,-79,2020-01-08 14:34:33.074358,30
80:E1:26:07:D2:6F,-50,2020-01-08 14:34:52.177238,30
80:E1:26:07:D2:6F,-50,2020-01-08 14:34:50.803369,30
80:E1:26:07:E0:F2,-73,2020-01-08 14:35:01.218044,15
80:E1:26:07:E0:F2,-71,2020-01-08 14:35:00.735700,30
80:E1:26:07:D2:6F,-55,2020-01-08 14:35:10.741066,30
80:E1:26:07:D2:6F,-42,2020-01-08 14:35:22.142051,30
80:E1:26:07:D2:6F,-42,2020-01-08 14:35:20.800794,30
80:E1:26:07:D2:6F,-69,2020-01-08 14:38:40.908271,30
80:E1:26:07:E3:79,-80,2020-01-08 14:38:50.899391,30
80:E1:26:07:D2:6F,-69,2020-01-08 14:39:00.891882,30
80:E1:26:07:E3:79,-78,2020-01-08 14:39:10.985994,30
80:E1:26:07:D2:6F,-72,2020-01-08 14:39:15.369118,121
80:E1:26:07:D2:6F,-76,2020-01-08 14:39:20.875869,30
80:E1:26:07:E3:79,-74,2020-01-08 14:39:23.702671,30
80:E1:26:07:D2:6F,-72,2020-01-08 14:39:24.426835,121
80:E1:26:07:D2:6F,-59,2020-01-08 14:39:31.022889,30
80:E1:26:07:D2:6F,-77,2020-01-08 14:39:34.498657,121
80:E1:26:07:C4:0A,-86,2020-01-08 14:40:14.437398,121
80:E1:26:07:E3:79,-76,2020-01-08 14:40:20.948979,30
80:E1:26:07:C4:0A,-81,2020-01-08 14:40:24.489113,121
80:E1:26:07:D2:6F,-63,2020-01-08 14:40:30.966976,30
80:E1:26:07:D2:6F,-73,2020-01-08 14:40:34.497628,121
80:E1:26:07:D2:6F,-69,2020-01-08 14:40:40.937834,30
80:E1:26:07:D2:6F,-70,2020-01-08 14:40:44.662338,121
80:E1:26:07:C4:0A,-76,2020-01-08 14:40:50.952024,30
80:E1:26:07:C4:0A,-81,2020-01-08 14:40:54.586548,121
80:E1:26:07:C4:0A,-85,2020-01-08 14:41:00.990610,30
80:E1:26:07:D2:6F,-70,2020-01-08 14:41:04.498600,121
80:E1:26:07:C4:0A,-72,2020-01-08 14:41:10.952894,30
80:E1:26:07:D2:6F,-76,2020-01-08 14:41:14.648741,121
80:E1:26:07:C4:0A,-78,2020-01-08 14:41:20.938574,30
80:E1:26:07:C4:0A,-79,2020-01-08 14:41:24.730889,121
80:E1:26:07:E3:79,-86,2020-01-08 14:41:34.498869,121
80:E1:26:07:E3:79,-72,2020-01-08 14:41:41.007673,30
80:E1:26:07:E3:79,-80,2020-01-08 14:41:44.505581,121
80:E1:26:07:E3:79,-82,2020-01-08 14:41:54.502040,121
80:E1:26:07:E3:79,-86,2020-01-08 14:42:04.622354,121
80:E1:26:07:D2:6F,-65,2020-01-08 14:42:11.015864,30
80:E1:26:07:D2:6F,-68,2020-01-08 14:42:14.529999,121
80:E1:26:07:D2:6F,-57,2020-01-08 14:42:21.033105,30
80:E1:26:07:D2:6F,-73,2020-01-08 14:42:24.534075,121
80:E1:26:07:D2:6F,-52,2020-01-08 14:42:40.988377,30
80:E1:26:07:D2:6F,-66,2020-01-08 14:42:44.566616,121
80:E1:26:07:D2:6F,-57,2020-01-08 14:42:51.046773,30
80:E1:26:07:D2:6F,-67,2020-01-08 14:42:54.568665,121
80:E1:26:07:D2:6F,-73,2020-01-08 14:43:01.124083,30
80:E1:26:07:D2:6F,-68,2020-01-08 14:43:04.957819,121
80:E1:26:07:D2:6F,-62,2020-01-08 14:43:11.025673,30
80:E1:26:07:D2:6F,-74,2020-01-08 14:43:14.668197,121
80:E1:26:07:D2:6F,-69,2020-01-08 14:43:24.610026,121
80:E1:26:07:D2:6F,-64,2020-01-08 14:43:31.028184,30
80:E1:26:07:E3:79,-59,2020-01-08 14:43:34.762017,121
80:E1:26:07:D2:6F,-70,2020-01-08 14:43:41.028941,30
80:E1:26:07:D2:6F,-86,2020-01-08 14:43:44.628814,121
80:E1:26:07:D2:6F,-68,2020-01-08 14:43:51.069419,30
80:E1:26:07:D2:6F,-77,2020-01-08 14:43:54.741786,121
80:E1:26:07:E3:79,-68,2020-01-08 14:44:01.110523,30
80:E1:26:07:E3:79,-56,2020-01-08 14:44:04.735133,121
80:E1:26:07:E3:79,-68,2020-01-08 14:44:11.021280,30
80:E1:26:07:E3:79,-53,2020-01-08 14:44:14.651766,121
80:E1:26:07:E3:79,-70,2020-01-08 14:44:21.081643,30
80:E1:26:07:E3:79,-56,2020-01-08 14:44:24.726527,121
80:E1:26:07:E3:79,-55,2020-01-08 14:44:34.699289,121
80:E1:26:07:E0:F2,-82,2020-01-08 14:45:34.733608,121
80:E1:26:07:E0:F2,-68,2020-01-08 14:45:41.090697,30
80:E1:26:07:E0:F2,-81,2020-01-08 14:45:44.759149,121
80:E1:26:07:E0:F2,-84,2020-01-08 14:45:54.747840,121
80:E1:26:07:E0:F2,-81,2020-01-08 14:46:14.736189,121
80:E1:26:07:E0:F2,-81,2020-01-08 14:46:25.136999,121
80:E1:26:07:E0:F2,-82,2020-01-08 14:46:34.778633,121
80:E1:26:07:E0:F2,-85,2020-01-08 14:46:41.311104,30
80:E1:26:07:E0:F2,-84,2020-01-08 14:46:44.797611,121
80:E1:26:07:E0:F2,-82,2020-01-08 14:46:55.240645,121
80:E1:26:07:E0:F2,-74,2020-01-08 14:47:01.124715,30
80:E1:26:07:E0:F2,-81,2020-01-08 14:47:04.796652,121
80:E1:26:07:E0:F2,-78,2020-01-08 14:47:11.153091,30
80:E1:26:07:D2:6F,-72,2020-01-08 14:47:21.164481,30
80:E1:26:07:D2:6F,-79,2020-01-08 14:47:24.817381,121
80:E1:26:07:D2:6F,-72,2020-01-08 14:47:22.433650,30
80:E1:26:07:D2:6F,-73,2020-01-08 14:47:34.801563,121
80:E1:26:07:D2:6F,-67,2020-01-08 14:47:35.580159,15
80:E1:26:07:D2:6F,-72,2020-01-08 14:47:42.418695,30
80:E1:26:07:D2:6F,-72,2020-01-08 14:47:41.146340,30
80:E1:26:07:D2:6F,-76,2020-01-08 14:47:44.785358,121
80:E1:26:07:D2:6F,-74,2020-01-08 14:47:45.618443,15
80:E1:26:07:D2:6F,-83,2020-01-08 14:47:54.822170,121
80:E1:26:07:D2:6F,-68,2020-01-08 14:47:55.618800,15
80:E1:26:07:C4:0A,-52,2020-01-08 14:47:56.606908,15
80:E1:26:07:D2:6F,-55,2020-01-08 14:48:01.165284,30
80:E1:26:07:D2:6F,-55,2020-01-08 14:48:02.479289,30
80:E1:26:07:C4:0A,-83,2020-01-08 14:48:04.829249,121
80:E1:26:07:C4:0A,-56,2020-01-08 14:48:05.651987,15
80:E1:26:07:C4:0A,-87,2020-01-08 14:48:14.822246,121
80:E1:26:07:C4:0A,-56,2020-01-08 14:48:15.636718,15
80:E1:26:07:C4:0A,-84,2020-01-08 14:48:24.812855,121
80:E1:26:07:C4:0A,-60,2020-01-08 14:48:25.666646,15
80:E1:26:07:C4:0A,-72,2020-01-08 14:48:31.167168,30
80:E1:26:07:C4:0A,-72,2020-01-08 14:48:32.478471,30
80:E1:26:07:C4:0A,-80,2020-01-08 14:48:34.813890,121
80:E1:26:07:E0:F2,-84,2020-01-08 14:48:35.680633,15
80:E1:26:07:C4:0A,-75,2020-01-08 14:48:41.164401,30
80:E1:26:07:C4:0A,-75,2020-01-08 14:48:42.459277,30
80:E1:26:07:C4:0A,-75,2020-01-08 14:48:44.812242,121
80:E1:26:07:C4:0A,-53,2020-01-08 14:48:45.713524,15
80:E1:26:07:C4:0A,-82,2020-01-08 14:48:54.821588,121
80:E1:26:07:C4:0A,-57,2020-01-08 14:48:55.728807,15
80:E1:26:07:C4:0A,-78,2020-01-08 14:49:04.865748,121
80:E1:26:07:C4:0A,-58,2020-01-08 14:49:05.744151,15
80:E1:26:07:E0:F2,-82,2020-01-08 14:49:06.749198,15
80:E1:26:07:C4:0A,-80,2020-01-08 14:49:14.839183,121
80:E1:26:07:E0:F2,-78,2020-01-08 14:49:16.791267,15
80:E1:26:07:E0:F2,-87,2020-01-08 14:49:24.894142,121
80:E1:26:07:C4:0A,-52,2020-01-08 14:49:25.770625,15
80:E1:26:07:E0:F2,-81,2020-01-08 14:49:26.782114,15
80:E1:26:07:C4:0A,-68,2020-01-08 14:49:32.495617,30
80:E1:26:07:C4:0A,-68,2020-01-08 14:49:31.282591,30
80:E1:26:07:C4:0A,-56,2020-01-08 14:49:34.870189,121
80:E1:26:07:C4:0A,-73,2020-01-08 14:49:35.788625,15
80:E1:26:07:E0:F2,-81,2020-01-08 14:49:36.786832,15
80:E1:26:07:C4:0A,-76,2020-01-08 14:49:44.941524,121
80:E1:26:07:E0:F2,-81,2020-01-08 14:49:45.808039,15
80:E1:26:07:C4:0A,-54,2020-01-08 14:49:46.811022,15
80:E1:26:07:C4:0A,-66,2020-01-08 14:49:51.197472,30
80:E1:26:07:C4:0A,-81,2020-01-08 14:49:54.909506,121
80:E1:26:07:C4:0A,-66,2020-01-08 14:49:58.514346,30
80:E1:26:07:E0:F2,-73,2020-01-08 14:50:02.510484,30
